id,name,aka,link,image_url,worked_as,worked_in,DOB,YOB,DOD,YOD
21229,Abby Meehan,,https://wfpp.columbia.edu/person/abby-meehan/,,director|writer>journalist,Great Britain,,1853,,1931
1342,Ada Aline Urban,Ada Gorecki|Ada Aline Jones,https://wfpp.columbia.edu/person/ada-aline-urban/,https://wfpp.columbia.edu/wp-content/uploads/2018/05/adaalineurban.jpg,business partner>business co-owner|company director>company co-director,Great Britain|United States,May 15,1868,,1937
1704,Ada Egede-Nissen,Ada Kramm,https://wfpp.columbia.edu/person/ada-egede-nissen/,,actress>film actress|actress>theatre actress,Germany|Norway,,1899,,1981
1337,Adela Rogers St. Johns,Nora Adela Rogers|Adela Rogers Saint Johns|Adela Rogers St. John,https://wfpp.columbia.edu/person/adela-rogers-st-johns/,https://wfpp.columbia.edu/wp-content/uploads/2011/11/WFP-ROG02.jpg,writer>journalist|writer>novelist|writer>screenwriter|writer>source author,United States,May 20,1894,August 10,1988
1344,Adela Sequeyro,Perlita|Adela Sequeyro Haro|Mrs. Mario Tenorio,https://wfpp.columbia.edu/person/adela-sequeyro-haro/,https://wfpp.columbia.edu/wp-content/uploads/Sequeyro_Latin_America_CCP_FIG261_WFP-SEQ021.jpg,director|actress>film actress|film company owner|writer>journalist|writer>poet|producer,Mexico,March 11,1901,December 24,1992
1345,Adele S. Buffington,Jesse Bowers|Adele Burgdorfer of St. Louis|Colt Remington,https://wfpp.columbia.edu/person/adele-s-buffington/,https://wfpp.columbia.edu/wp-content/uploads/Buffington_CCP_FIGX_WFP-BUF011.jpg,guild co-founder|movie theatre ticket cashier|writer>scenario writer|writer>screenwriter,United States,February 12,1900,November 23,1973
1348,Adelina Barrasa,,https://wfpp.columbia.edu/person/adelina-barrasa/,,cinema proprietor|exhibitor>motion picture exhibitor,Mexico,,,,
1349,Adriana Ehlers,,https://wfpp.columbia.edu/person/adriana-ehlers/,https://wfpp.columbia.edu/wp-content/uploads/2012/02/WFP-ELH01.jpg,camera operator|director|filmmaker>documentary maker|equipment sales|filmmaker>ethnographic filmmaker|censor>film censorship board member|government department head|laboratory worker|visual artist>photographer|producer,Mexico|United States,September 28,1894,,1972
1351,Adriënne Solser,,https://wfpp.columbia.edu/person/adrienne-solser/,https://wfpp.columbia.edu/wp-content/uploads/2013/07/WFP-SOL02.jpg,director>co-director|comedienne|distributor|actress>film actress|film company owner|actress>musical comedy actress|producer|actress>theatre actress,The Netherlands,February 18,1873,November 29,1943
1352,Agnes Christine Johnston,A. C. Johnson|Agnes Christine Johnson|Agnes C. Johnson|Agnes Johnston|Agnes C. Johnston|Mrs. Frank Mitchell Dazey,https://wfpp.columbia.edu/person/agnes-christine-johnston/,https://wfpp.columbia.edu/wp-content/uploads/CCP_FIG167_Johnston_WFP-JOHN021.jpg,adapter|writer>screenwriter>co-screenwriter|writer>playwright|writer>scenario writer|stenographer,United States,January 11,1896,July 19,1978
1353,Agnes Gavin,Agnes Kurtz|Agnes Adele Wangenheim,https://wfpp.columbia.edu/person/agnes-gavin/,,actress>film actress|writer>scenario writer|writer>screenwriter|actress>theatre actress,Australia,,1872,January 9,1948
17526,Aili Kari,Aili Lucina Kari,https://wfpp.columbia.edu/person/aili-kari/,https://wfpp.columbia.edu/wp-content/uploads/2018/10/WFP2-KAR01-featured-image.jpg,accountant>chief accountant|actress>film actress|office manager|secretary>production secretary|actress>theatre actress,Finland,April 22,1899,July 16,1994
10082,Aleksandra Khokhlova,Aleksandra Sergeevna Khokhlova|Aleksandra Botkina,https://wfpp.columbia.edu/person/aleksandra-khokhlova/,https://wfpp.columbia.edu/wp-content/uploads/2014/04/WFP2-KHOK01.jpg,educator>acting teacher|director>assistant director|director>co-director|educator>directing teacher|actress>film actress|writer,Russia and former Soviet Union,November 4,1897,August 22,1985
3,Alice B. Russell,Alice Burton Russell|Alice Micheaux,https://wfpp.columbia.edu/person/alice-b-russell/,https://wfpp.columbia.edu/wp-content/uploads/Women_as_Camera_Operators_WFP-ORD011.jpg,actress>film actress|musician|producer,United States,June 30,1889,January 1,1985
1354,Alice Guy Blaché,Alice Blache|Alice Guy|Alice Guy-Blaché,https://wfpp.columbia.edu/person/alice-guy-blache/,https://wfpp.columbia.edu/wp-content/uploads/CCP_FIGX_BLACHE_WFP-GUY161.jpg,director>assistant director|director>co-director|producer>co-producer|writer>screenwriter>co-screenwriter|film company owner|lecturer|secretary,France|United States,July 1,1873,March 24,1968
