id, value
jobs,
jobs.,1
jobs.accountant,5
jobs.accountant.chief-accountant,1
jobs.actress,224
jobs.actress.film-actress,147
jobs.actress.musical-comedy-actress,5
jobs.actress.theatre-actress,72
jobs.adapter,35
jobs.agent,5
jobs.agent.talent-agent,1
jobs.agent.talent-manager,2
jobs.amateur-filmmaking-club-co-founder,2
jobs.animal-trainer,2
jobs.animator,4
jobs.anthropologist,1
jobs.art-director,7
jobs.booking-clerk,1
jobs.business-owner,1
jobs.business-partner,12
jobs.business-partner.business-co-founder,1
jobs.business-partner.business-co-owner,3
jobs.business-partner.family-business-partner,8
jobs.business-partner.family-business-partner.family-film-business-partner,5
jobs.camera-operator,8
jobs.camera-operator.amateur-camera-operator,1
jobs.carpenter,1
jobs.casting-director,4
jobs.catalog-editor,1
jobs.censor,6
jobs.censor.assistant,1
jobs.censor.censorship-representative,1
jobs.censor.film-censor,3
jobs.censor.film-censorship-board-member,1
jobs.chorus-girl,2
jobs.cinema-proprietor,4
jobs.cinematographer,12
jobs.cinematographer.camerawoman,1
jobs.cinematographer.camerawoman.newsreel-camerawoman,1
jobs.cinematographer.experimental-cinematographer,3
jobs.cinematographer.special-effects,2
jobs.cinematographer.war-cinematographer,1
jobs.comedienne,7
jobs.company-director,13
jobs.company-director.company-co-director,4
jobs.company-executive,1
jobs.consultant,5
jobs.consultant.artistic-consultant,1
jobs.consultant.artistic-council-member,2
jobs.continuity,9
jobs.continuity-girl,1
jobs.costume-designer,13
jobs.costume-designer.wardrobe-consultant,1
jobs.costume-designer.wardrobe-mistress,1
jobs.critic,25
jobs.critic.art-critic,1
jobs.critic.film-critic,19
jobs.critic.theatre-critic,5
jobs.dancer,2
jobs.dialogue-director,1
jobs.dialogue-writer,1
jobs.director,132
jobs.director.assistant-director,14
jobs.director.co-director,38
jobs.director.second-assistant-director,1
jobs.director.theatre-director,8
jobs.distributor,17
jobs.distributor.distribution-company-founder,2
jobs.distributor.distribution-company-managing-director,1
jobs.distributor.distribution-company-owner,1
jobs.distributor.film-dealer,1
jobs.distributor.film-renter,1
jobs.dramaturge,1
jobs.dressmaker,1
jobs.editor,59
jobs.editor.co-editor,2
jobs.editor.film-cutter,11
jobs.editor.scenario-editor,15
jobs.editor.scenario-editor.chief-scenario-editor,3
jobs.editorial-director,1
jobs.educator,10
jobs.educator.acting-teacher,8
jobs.educator.directing-teacher,1
jobs.educator.screenwriting-teacher,1
jobs.entrepreneur,9
jobs.entrepreneur.theatrical-entrepreneur,8
jobs.equipment-sales,2
jobs.executive,1
jobs.exhibitor,9
jobs.exhibitor.independent-exhibitor,1
jobs.exhibitor.motion-picture-exhibitor,5
jobs.exhibitor.traveling-exhibitor,1
jobs.extra,10
jobs.film-colorist,4
jobs.film-company-board-member,1
jobs.film-company-department-head,1
jobs.film-company-founding-partner,11
jobs.film-company-managing-director,1
jobs.film-company-owner,31
jobs.film-company-owner.film-music-company-owner,1
jobs.film-company-shareholder,1
