,ID,Name,Pseudonyms,Link,Picture,Jobs,Born,Died,Lived in
0,21229,Abby Meehan,,https://wfpp.columbia.edu/person/abby-meehan/,,director|writer,1853,1931,England
1,1342,Ada Aline Urban,Ada Gorecki|Ada Aline Jones,https://wfpp.columbia.edu/person/ada-aline-urban/,https://wfpp.columbia.edu/wp-content/uploads/2018/05/adaalineurban.jpg,business partner|company director,1868,1937,England
2,1342,Ada Aline Urban,Ada Gorecki|Ada Aline Jones,https://wfpp.columbia.edu/person/ada-aline-urban/,https://wfpp.columbia.edu/wp-content/uploads/2018/05/adaalineurban.jpg,business partner|company director,1868,1937,United States
3,9728,Emilia Saleny,Josefina Emilia Saleny|Emilia Saleny Ferrari,https://wfpp.columbia.edu/person/emilia-saleny-2/,https://wfpp.columbia.edu/wp-content/uploads/2013/12/WFP-SAL01-e1391529109275.jpg,educator|director|actress,1894,1978,Argentina
4,1353,Agnes Gavin,Agnes Kurtz|Agnes Adele Wangenheim,https://wfpp.columbia.edu/person/agnes-gavin/,,actress|writer,1872,1948,Australia
5,12539,Beatrice Maude Tildesley,,https://wfpp.columbia.edu/person/beatrice-maude-tildesley/,https://wfpp.columbia.edu/wp-content/uploads/2016/06/WFP2-TILD01.jpg,critic|co-founder|secretary|international women's organizations film correspondent|writer,1886,1977,Australia
6,1407,Caroline Frances Pugliese,,https://wfpp.columbia.edu/person/caroline-frances-pugliese/,,cinema proprietor|producer|business partner|exhibitor,1865,1940,Australia
7,16055,Lottie Lyell,Lottie Edith Cox,https://wfpp.columbia.edu/person/lottie-lyell/,https://wfpp.columbia.edu/wp-content/uploads/2017/09/WFP2-LYE19.jpg,art director|director|editor|actress|producer|writer,1890,1925,Australia
8,1592,Mona Donaldson,Miss D,https://wfpp.columbia.edu/person/mona-donaldson/,,booking clerk|censor|editor,1901,Unknown,Australia
9,1624,Paulette McDonagh,,https://wfpp.columbia.edu/person/paulette-mcdonagh/,https://wfpp.columbia.edu/wp-content/uploads/2012/08/paullete-macdonald.jpg,director|filmmaker|business partner|writer,1901,1978,Australia
10,1613,Señora Spencer,Mary Stuart Huntly|Mary Stuart Spencer,https://wfpp.columbia.edu/person/senora-spencer/,,cinema proprietor|business partner|exhibitor|producer|projectionist,1871,1940,Australia
11,1620,Isabel McDonagh,Marie Lorraine,https://wfpp.columbia.edu/person/isabel-mcdonagh/,https://wfpp.columbia.edu/wp-content/uploads/2012/08/isabell-mcdonagh.jpg,business partner|actress,1899,1982,Australia
12,1620,Isabel McDonagh,Marie Lorraine,https://wfpp.columbia.edu/person/isabel-mcdonagh/,https://wfpp.columbia.edu/wp-content/uploads/2012/08/isabell-mcdonagh.jpg,business partner|actress,1899,1982,England
13,1622,Phyllis McDonagh,,https://wfpp.columbia.edu/person/phyllis-mcdonagh/,https://wfpp.columbia.edu/wp-content/uploads/2012/08/phyllis-mcdonagh.jpg,art director|business partner|writer|producer|publicist,1900,1972,Australia
14,1622,Phyllis McDonagh,,https://wfpp.columbia.edu/person/phyllis-mcdonagh/,https://wfpp.columbia.edu/wp-content/uploads/2012/08/phyllis-mcdonagh.jpg,art director|business partner|writer|producer|publicist,1900,1972,New Zealand
15,1551,Kate Howarde,Catherine Clarissa Black|Catherine Clarissa Jones|Mrs. William Henry de Saxe,https://wfpp.columbia.edu/person/kate-howarde/,https://wfpp.columbia.edu/wp-content/uploads/2012/02/WFP2-HOWA01.jpg,director|writer|actress|producer|critic|director|entrepreneur,1864,1939,Australia
16,1551,Kate Howarde,Catherine Clarissa Black|Catherine Clarissa Jones|Mrs. William Henry de Saxe,https://wfpp.columbia.edu/person/kate-howarde/,https://wfpp.columbia.edu/wp-content/uploads/2012/02/WFP2-HOWA01.jpg,director|writer|actress|producer|critic|director|entrepreneur,1864,1939,New Zealand
17,1551,Kate Howarde,Catherine Clarissa Black|Catherine Clarissa Jones|Mrs. William Henry de Saxe,https://wfpp.columbia.edu/person/kate-howarde/,https://wfpp.columbia.edu/wp-content/uploads/2012/02/WFP2-HOWA01.jpg,director|writer|actress|producer|critic|director|entrepreneur,1864,1939,United States
18,1367,Annette Kellerman,Annette Kellermann|Annette Marie Sarah Kellerman|Mrs. James Sullivan,https://wfpp.columbia.edu/person/annette-kellerman/,https://wfpp.columbia.edu/wp-content/uploads/Kellerman_CCP_FIG168H_WFP-KELA081.jpg,director|director|writer|dressmaker|actress|designer|stunt person,1887,1975,Australia
19,1367,Annette Kellerman,Annette Kellermann|Annette Marie Sarah Kellerman|Mrs. James Sullivan,https://wfpp.columbia.edu/person/annette-kellerman/,https://wfpp.columbia.edu/wp-content/uploads/Kellerman_CCP_FIG168H_WFP-KELA081.jpg,director|director|writer|dressmaker|actress|designer|stunt person,1887,1975,United States
20,1389,Bess Meredyth,Helen MacGlashan|Mrs. Wilfred Lucas|Mrs. Michael Curtiz,https://wfpp.columbia.edu/person/bess-meredyth/,https://wfpp.columbia.edu/wp-content/uploads/Meredyth_CCP_FIG193_WFP-MER021.jpg,adapter|director|comedienne|continuity|extra|actress|editor|writer,1890,1969,Australia
21,1389,Bess Meredyth,Helen MacGlashan|Mrs. Wilfred Lucas|Mrs. Michael Curtiz,https://wfpp.columbia.edu/person/bess-meredyth/,https://wfpp.columbia.edu/wp-content/uploads/Meredyth_CCP_FIG193_WFP-MER021.jpg,adapter|director|comedienne|continuity|extra|actress|editor|writer,1890,1969,United States
22,1453,Dorothy Gordon,Andrea Dorothy Gordon Jenner|Andrea,https://wfpp.columbia.edu/person/dorothy-gordon/,https://wfpp.columbia.edu/wp-content/uploads/2012/02/WFP-GOR06portrait.jpg,art director|musician|writer|dressmaker|extra|actress|producer|reader|stunt person,1891,1985,Australia
23,1453,Dorothy Gordon,Andrea Dorothy Gordon Jenner|Andrea,https://wfpp.columbia.edu/person/dorothy-gordon/,https://wfpp.columbia.edu/wp-content/uploads/2012/02/WFP-GOR06portrait.jpg,art director|musician|writer|dressmaker|extra|actress|producer|reader|stunt person,1891,1985,United States
24,10776,Elsa Chauvel,Elsie May Wilcox|Elsa Silveni/Sylvaney|Ann Wynn,https://wfpp.columbia.edu/person/elsa-chauvel/,https://wfpp.columbia.edu/wp-content/uploads/2015/07/WFP-CHAU02.jpg,director|producer|writer|continuity|dressmaker|director|actress|make-up|producer|stunt person,1898,1983,Australia
25,10776,Elsa Chauvel,Elsie May Wilcox|Elsa Silveni/Sylvaney|Ann Wynn,https://wfpp.columbia.edu/person/elsa-chauvel/,https://wfpp.columbia.edu/wp-content/uploads/2015/07/WFP-CHAU02.jpg,director|producer|writer|continuity|dressmaker|director|actress|make-up|producer|stunt person,1898,1983,United States
