,Lived in,Unnamed: 0,ID,Name,Pseudonyms,Link,Picture,Jobs,Born,Died
0,Argentina,1,1,1,1,1,1,1,1,1
1,Australia,15,15,15,11,15,11,15,15,15
2,Austria,3,3,3,3,3,2,3,3,3
3,Brazil,3,3,3,3,3,3,3,3,3
4,Canada,8,8,8,7,8,7,8,8,8
5,Chile,3,3,3,1,3,1,3,3,3
6,China,9,9,9,9,9,9,9,9,9
7,Colombia,1,1,1,1,1,1,1,1,1
8,Croatia,1,1,1,1,1,1,1,1,1
9,Czechoslovakia,2,2,2,2,2,1,2,2,2
10,Denmark,6,6,6,5,6,5,6,6,6
11,England,31,31,31,27,31,21,31,31,31
12,Finland,4,4,4,4,4,3,4,4,4
13,France,19,19,19,14,19,16,19,19,18
14,Germany,16,16,16,14,16,11,16,16,16
15,Hong Kong,3,3,3,3,3,3,3,3,3
16,Hungary,1,1,1,1,1,1,1,1,1
17,Ireland,8,8,8,8,8,7,8,8,8
18,Italy,14,14,14,7,14,12,14,14,14
19,Japan,2,2,2,2,2,2,2,2,2
20,Mexico,10,10,10,5,10,8,10,10,10
21,New Zealand,2,2,2,1,2,2,2,2,2
22,Norway,5,5,5,3,5,2,5,5,5
23,Peru,4,4,4,2,4,0,4,4,4
24,Poland,2,2,2,2,2,2,2,2,2
25,Portugal,1,1,1,0,1,1,1,1,1
26,Russia,7,7,7,7,7,6,7,7,7
27,Scotland,1,1,1,1,1,1,1,1,1
28,Soviet Union,7,7,7,7,7,6,7,7,7
29,Spain,2,2,2,2,2,2,2,2,2
30,Sweden,5,5,5,3,5,5,5,5,5
31,The Netherlands,2,2,2,1,2,2,2,2,2
32,The Philippines,1,1,1,1,1,1,1,1,1
33,Tunisia,1,1,1,1,1,1,1,1,1
34,Turkey,2,2,2,2,2,2,2,2,2
35,United States,172,172,172,135,172,156,172,172,172
