,Died,ID,Name,Pseudonyms,Link,Picture,Jobs,Lived in,Born
0,1907,1,1,1,1,0,1,1,1
1,1913,1,1,1,1,0,1,1,1
2,1917,1,1,1,1,0,1,1,1
3,1919,1,1,1,1,1,1,1,1
4,1920,3,3,2,3,2,3,3,3
5,1923,2,2,2,2,2,2,2,2
6,1925,2,2,2,2,2,2,2,2
7,1926,1,1,1,1,1,1,1,1
8,1927,2,2,1,2,2,2,2,2
9,1929,2,2,2,2,1,2,2,2
10,1930,6,6,5,6,6,6,6,6
11,1931,2,2,1,2,1,2,2,2
12,1932,1,1,0,1,1,1,1,1
13,1933,3,3,2,3,3,3,3,3
14,1934,1,1,1,1,1,1,1,1
15,1935,1,1,1,1,1,1,1,1
16,1936,1,1,1,1,1,1,1,1
17,1937,4,4,4,4,4,4,4,4
18,1938,4,4,4,4,3,4,4,4
19,1939,3,3,3,3,3,3,3,3
20,1940,6,6,4,6,4,6,6,6
21,1941,3,3,1,3,2,3,3,3
22,1942,2,2,1,2,2,2,2,2
23,1943,7,7,5,7,6,7,7,7
24,1944,2,2,2,2,2,2,2,2
25,1945,3,3,2,3,3,3,3,3
26,1946,5,5,5,5,5,5,5,5
27,1947,3,3,3,3,1,3,3,3
28,1948,2,2,2,2,1,2,2,2
29,1949,3,3,1,3,3,3,3,3
30,1950,4,4,3,4,4,4,4,4
31,1951,3,3,2,3,3,3,3,3
32,1952,2,2,1,2,1,2,2,2
33,1953,9,9,7,9,7,9,9,9
34,1954,6,6,6,6,4,6,6,6
35,1955,1,1,1,1,1,1,1,1
36,1956,3,3,2,3,3,3,3,3
37,1957,6,6,6,6,6,6,6,6
38,1958,4,4,3,4,3,4,4,4
39,1959,4,4,4,4,4,4,4,4
40,1960,9,9,6,9,8,9,9,9
41,1961,8,8,6,8,7,8,8,8
42,1962,3,3,2,3,2,3,3,3
43,1963,1,1,1,1,1,1,1,1
44,1964,1,1,1,1,1,1,1,1
45,1965,7,7,6,7,6,7,7,7
46,1966,4,4,3,4,4,4,4,4
47,1967,4,4,2,4,3,4,4,4
48,1968,3,3,2,3,3,3,3,3
49,1969,4,4,3,4,3,4,4,4
50,1970,6,6,6,6,6,6,6,6
51,1971,3,3,3,3,2,3,3,3
52,1972,9,9,7,9,9,9,9,9
53,1973,7,7,6,7,5,7,7,7
54,1974,5,5,4,5,4,5,5,5
55,1975,8,8,7,8,7,8,8,8
56,1976,2,2,1,2,2,2,2,2
57,1977,7,7,6,7,6,7,7,7
58,1978,5,5,3,5,4,5,5,5
59,1979,4,4,3,4,4,4,4,4
60,1980,3,3,3,3,3,3,3,3
61,1981,5,5,4,5,3,5,5,5
62,1982,4,4,4,4,3,4,4,4
63,1983,7,7,3,7,6,7,7,7
64,1984,4,4,4,4,4,4,4,4
65,1985,7,7,6,7,6,7,7,7
66,1986,3,3,2,3,3,3,3,3
67,1987,3,3,3,3,3,3,3,3
68,1988,6,6,4,6,3,6,6,6
69,1989,1,1,1,1,1,1,1,1
70,1990,3,3,3,3,3,3,3,3
71,1992,1,1,1,1,1,1,1,1
72,1993,3,3,2,3,3,3,3,3
73,1994,2,2,2,2,2,2,2,2
74,1996,1,1,1,1,1,1,1,1
75,1998,2,2,1,2,1,2,2,2
76,1999,1,1,1,1,1,1,1,1
77,2002,3,3,2,3,3,3,3,3
78,2012,1,1,1,1,1,1,1,1
