,Jobs,Unnamed: 0,ID,Name,Pseudonyms,Link,Picture,Lived in,Born,Died
0,accountant,5,5,5,5,5,4,5,5,5
1,actress,160,160,160,136,160,145,160,160,160
2,adapter,35,35,35,31,35,30,35,35,35
3,agent,3,3,3,3,3,3,3,3,3
4,animal trainer,2,2,2,2,2,2,2,2,2
5,animator,4,4,4,3,4,3,4,4,4
6,anthropologist,1,1,1,1,1,1,1,1,1
7,art director,6,6,6,5,6,6,6,6,6
8,booking clerk,1,1,1,1,1,0,1,1,1
9,business owner,1,1,1,1,1,1,1,1,1
10,business partner,11,11,11,8,11,6,11,11,11
11,carpenter,1,1,1,1,1,0,1,1,1
12,censor,6,6,6,3,6,4,6,6,6
13,cinema proprietor,4,4,4,2,4,0,4,4,4
14,cinematographer,19,19,19,14,19,14,19,19,19
15,co-founder,8,8,8,7,8,7,8,8,7
16,comedienne,7,7,7,3,7,7,7,7,7
17,company director,13,13,13,13,13,12,13,13,13
18,consultant,6,6,6,5,6,5,6,6,6
19,continuity,9,9,9,8,9,8,9,9,9
20,continuity girl,1,1,1,1,1,1,1,1,1
21,critic,22,22,22,16,22,19,22,22,21
22,dancer,2,2,2,2,2,2,2,2,2
23,designer,11,11,11,11,11,11,11,11,11
24,director,136,136,136,103,136,121,136,136,135
25,distributor,13,13,13,10,13,11,13,13,13
26,dramaturge,1,1,1,1,1,0,1,1,1
27,dressmaker,15,15,15,14,15,12,15,15,15
28,editor,69,69,69,56,69,59,69,69,68
29,educator,10,10,10,7,10,9,10,10,10
30,engineer,2,2,2,2,2,2,2,2,2
31,entrepreneur,9,9,9,7,9,6,9,9,9
32,equipment sales,2,2,2,0,2,2,2,2,2
33,executive,2,2,2,1,2,1,2,2,2
34,exhibitor,7,7,7,5,7,3,7,7,7
35,extra,10,10,10,9,10,10,10,10,10
36,film colorist,4,4,4,4,4,2,4,4,4
37,film company board member,1,1,1,1,1,1,1,1,1
38,film company department head,1,1,1,1,1,0,1,1,1
39,film company founding partner,11,11,11,10,11,10,11,11,11
40,film company managing director,1,1,1,1,1,1,1,1,1
41,film company owner,31,31,31,23,31,27,31,31,31
42,film company shareholder,1,1,1,1,1,0,1,1,1
43,film company vice president,1,1,1,1,1,1,1,1,1
44,film curator,2,2,2,1,2,2,2,2,2
45,filmmaker,20,20,20,11,20,17,20,20,20
46,filmmaking,1,1,1,1,1,1,1,1,1
47,forewoman,1,1,1,0,1,0,1,1,1
48,government department head,2,2,2,0,2,2,2,2,2
49,government official,1,1,1,1,1,1,1,1,1
50,guild shareholder,1,1,1,1,1,1,1,1,1
51,head of studio research department,1,1,1,1,1,1,1,1,1
52,international women's organizations film correspondent,1,1,1,0,1,1,1,1,1
53,inventor,1,1,1,1,1,0,1,1,1
54,investor,2,2,2,1,2,2,2,2,2
55,laboratory worker,4,4,4,1,4,2,4,4,4
56,lecturer,8,8,8,6,8,7,8,8,8
57,literary advisor,1,1,1,1,1,1,1,1,1
58,location scout,2,2,2,2,2,2,2,2,2
59,make-up,2,2,2,2,2,2,2,2,2
60,manager,13,13,13,11,13,12,13,13,13
61,metalworker,1,1,1,0,1,0,1,1,1
62,miscellaneous crew,1,1,1,1,1,1,1,1,1
63,movie theatre ticket cashier,1,1,1,1,1,1,1,1,1
64,musician,20,20,20,18,20,17,20,20,20
65,painter,2,2,2,2,2,2,2,2,2
66,pantomime,1,1,1,1,1,1,1,1,1
67,personal assistant,2,2,2,1,2,2,2,2,2
68,play broker,1,1,1,1,1,1,1,1,1
69,preservationist,4,4,4,2,4,3,4,4,4
70,producer,117,117,117,90,117,104,117,117,117
71,production editor,1,1,1,1,1,1,1,1,1
72,projectionist,3,3,3,3,3,2,3,3,3
73,publicist,4,4,4,3,4,4,4,4,4
74,publisher,1,1,1,1,1,1,1,1,1
75,reader,7,7,7,7,7,6,7,7,7
76,researcher,2,2,2,2,2,2,2,2,2
77,scenarist,7,7,7,7,7,6,7,7,7
78,scholar,5,5,5,4,5,5,5,5,5
79,script,3,3,3,3,3,3,3,3,3
80,secretary,9,9,9,6,9,8,9,9,9
81,set decorator,4,4,4,4,4,3,4,4,4
82,society matron,1,1,1,1,1,0,1,1,1
83,speech coach,1,1,1,1,1,1,1,1,1
84,stenographer,2,2,2,2,2,2,2,2,2
85,studio head,1,1,1,0,1,1,1,1,1
86,studio librarian,1,1,1,1,1,1,1,1,1
87,stunt person,6,6,6,6,6,6,6,6,6
88,technician,2,2,2,1,2,1,2,2,2
89,treasurer,1,1,1,1,1,1,1,1,1
90,typist,1,1,1,1,1,1,1,1,1
91,visual artist,15,15,15,11,15,13,15,15,15
92,weaver,1,1,1,1,1,1,1,1,1
93,writer,211,211,211,171,211,185,211,211,210
