,Born,ID,Name,Pseudonyms,Link,Picture,Jobs,Lived in,Died
0,1841,2,2,2,2,1,2,2,2
1,1844,1,1,1,1,1,1,1,1
2,1848,1,1,1,1,1,1,1,1
3,1853,2,2,1,2,1,2,2,2
4,1856,1,1,0,1,1,1,1,1
5,1858,2,2,2,2,1,2,2,2
6,1859,1,1,1,1,1,1,1,1
7,1862,3,3,1,3,1,3,3,3
8,1863,1,1,1,1,1,1,1,1
9,1864,4,4,4,4,3,4,4,4
10,1865,2,2,0,2,1,2,2,2
11,1867,2,2,2,2,1,2,2,2
12,1868,6,6,5,6,4,6,6,6
13,1869,1,1,0,1,1,1,1,1
14,1871,4,4,4,4,3,4,4,4
15,1872,5,5,3,5,4,5,5,5
16,1873,6,6,5,6,6,6,6,6
17,1874,6,6,5,6,5,6,6,6
18,1875,7,7,5,7,7,7,7,7
19,1876,4,4,3,4,2,4,4,4
20,1877,3,3,3,3,2,3,3,3
21,1878,4,4,1,4,2,4,4,4
22,1879,7,7,7,7,6,7,7,7
23,1880,3,3,3,3,3,3,3,3
24,1881,9,9,8,9,8,9,9,9
25,1882,7,7,5,7,4,7,7,7
26,1883,5,5,4,5,5,5,5,5
27,1884,7,7,5,7,7,7,7,7
28,1885,9,9,7,9,8,9,9,9
29,1886,8,8,7,8,7,8,8,8
30,1887,6,6,6,6,4,6,6,6
31,1888,13,13,13,13,13,13,13,13
32,1889,10,10,9,10,9,10,10,10
33,1890,9,9,6,9,8,9,9,9
34,1891,6,6,5,6,6,6,6,6
35,1892,10,10,7,10,9,10,10,10
36,1893,7,7,5,7,6,7,7,7
37,1894,15,15,13,15,15,15,15,15
38,1895,9,9,7,9,7,9,9,9
39,1896,10,10,8,10,9,10,10,10
40,1897,8,8,6,8,6,8,8,8
41,1898,10,10,5,10,8,10,10,10
42,1899,9,9,8,9,7,9,9,9
43,1900,7,7,5,7,7,7,7,7
44,1901,5,5,4,5,4,5,5,5
45,1902,6,6,6,6,6,6,6,5
46,1903,2,2,2,2,2,2,2,2
47,1904,9,9,7,9,8,9,9,9
48,1905,3,3,3,3,3,3,3,3
49,1906,3,3,2,3,2,3,3,3
50,1908,2,2,2,2,2,2,2,2
51,1909,2,2,2,2,2,2,2,2
52,1910,1,1,1,1,0,1,1,1
53,1911,1,1,1,1,1,1,1,1
54,1914,2,2,2,2,2,2,2,2
