,ID,Lived in
0,21229,England
1,1342,England
2,1342,United States
3,9728,Argentina
4,1353,Australia
5,12539,Australia
6,1407,Australia
7,16055,Australia
8,1592,Australia
9,1624,Australia
10,1613,Australia
11,1620,Australia
12,1620,England
13,1622,Australia
14,1622,New Zealand
15,1551,Australia
16,1551,New Zealand
17,1551,United States
18,1367,Australia
19,1367,United States
20,1389,Australia
21,1389,United States
22,1453,Australia
23,1453,United States
24,10776,Australia
25,10776,United States
26,1565,Australia
27,1565,United States
28,17005,Austria
29,17005,China
30,17005,Germany
31,1537,Austria
32,1537,Germany
33,1404,Austria
34,1404,Germany
35,1404,Hungary
36,1405,Brazil
37,17726,Brazil
38,21695,Brazil
39,13054,Canada
40,11709,Canada
41,12315,Canada
42,12816,Canada
43,12816,England
44,12816,Germany
45,12816,Italy
46,11496,Canada
47,11496,France
48,11496,United States
49,1542,Canada
50,1542,Scotland
51,1599,Canada
52,1599,United States
53,12341,Canada
54,12341,United States
55,1362,Chile
56,1509,Chile
57,1606,Chile
58,15129,China
59,16213,China
60,10693,China
61,16243,China
62,16184,China
63,14312,China
64,14312,Hong Kong
65,20995,China
66,20995,Hong Kong
67,14747,China
68,14747,Japan
69,17058,Colombia
70,1626,Czechoslovakia
71,21382,Czechoslovakia
72,21382,Germany
73,14793,Denmark
74,14793,Germany
75,17864,Denmark
76,17864,Germany
77,17864,Italy
78,1705,Denmark
79,1705,Germany
80,1705,Norway
81,1370,Denmark
82,1370,Germany
83,1370,Norway
84,14908,Denmark
85,14908,Germany
86,14908,Sweden
87,1629,Denmark
88,1629,United States
89,1399,England
90,1408,England
91,4692,England
92,9897,England
93,1474,England
94,1529,England
95,1534,England
96,1539,England
97,1543,England
98,1555,England
99,16586,England
100,12923,England
101,1573,England
102,12778,England
103,1598,England
104,1450,England
105,1450,France
106,1450,United States
107,1575,England
108,1575,France
109,1575,United States
110,1587,England
111,1587,France
112,1587,United States
113,11896,England
114,11896,France
115,11896,United States
116,1590,England
117,1590,Ireland
118,20799,England
119,20799,Ireland
120,20799,United States
121,11009,England
122,11009,United States
123,1459,England
124,1459,United States
125,1497,England
126,1497,United States
127,11517,England
128,11517,United States
129,14244,England
130,14244,United States
131,1604,England
132,1604,United States
133,17526,Finland
134,12583,Finland
135,10807,Finland
136,14166,Finland
137,21480,France
138,14923,France
139,14097,France
140,21479,France
141,12350,France
142,13949,France
143,16546,France
144,17942,France
145,1595,France
146,15245,France
147,15245,Germany
148,15245,Italy
149,11906,France
150,11906,Italy
151,16315,France
152,16315,Italy
153,17569,France
154,17569,Portugal
155,1354,France
156,1354,United States
157,12683,Germany
158,1609,Germany
159,1627,Germany
160,1704,Germany
161,1704,Norway
162,1616,Germany
163,1616,United States
164,16842,United States
165,10420,Hong Kong
166,10420,United States
167,17185,Ireland
168,17186,Ireland
169,15938,Ireland
170,17187,Ireland
171,12602,Ireland
172,12602,United States
173,11533,Ireland
174,11533,United States
175,13883,Italy
176,10466,Italy
177,12268,Italy
178,1472,Italy
179,11357,Italy
180,16476,Italy
181,21928,Italy
182,18173,Italy
183,1589,Italy
184,16525,Japan
185,15294,Croatia
186,1344,Mexico
187,1348,Mexico
188,1403,Mexico
189,1406,Mexico
190,1434,Mexico
191,1458,Mexico
192,1591,Mexico
193,1349,Mexico
194,1349,United States
195,1350,Mexico
196,1350,United States
197,1548,Mexico
198,1548,United States
199,10414,Norway
200,1528,Norway
201,1364,Peru
202,1578,Peru
203,1615,Peru
204,1617,Peru
205,21853,Poland
206,22000,Poland
207,10082,Russia
208,10082,Soviet Union
209,21098,Russia
210,21098,Soviet Union
211,1476,Russia
212,1476,Soviet Union
213,13035,Russia
214,13035,Soviet Union
215,12498,Russia
216,12498,Soviet Union
217,20509,Russia
218,20509,Soviet Union
219,20512,Russia
220,20512,Soviet Union
221,16002,Spain
222,14676,Spain
223,10677,Sweden
224,13804,Sweden
225,14266,Sweden
226,10682,Sweden
227,1351,The Netherlands
228,10571,The Netherlands
229,14299,The Philippines
230,13509,Tunisia
231,15432,Turkey
232,15428,Turkey
233,1337,United States
234,1345,United States
235,1352,United States
236,3,United States
237,1358,United States
238,15780,United States
239,1361,United States
240,1363,United States
241,17671,United States
242,1365,United States
243,21640,United States
244,1366,United States
245,6,United States
246,1368,United States
247,20329,United States
248,1386,United States
249,1387,United States
250,1388,United States
251,1390,United States
252,1393,United States
253,21748,United States
254,22251,United States
255,1394,United States
256,1323,United States
257,1400,United States
258,11135,United States
259,1409,United States
260,1411,United States
261,1418,United States
262,1420,United States
263,1421,United States
264,20328,United States
265,1423,United States
266,1435,United States
267,1441,United States
268,1454,United States
269,1457,United States
270,1110,United States
271,1466,United States
272,1468,United States
273,14897,United States
274,4,United States
275,1470,United States
276,1114,United States
277,1478,United States
278,1480,United States
279,1481,United States
280,10702,United States
281,1483,United States
282,1490,United States
283,1493,United States
284,1499,United States
285,1506,United States
286,1507,United States
287,1511,United States
288,1519,United States
289,1523,United States
290,1524,United States
291,12759,United States
292,1525,United States
293,1526,United States
294,1527,United States
295,1564,United States
296,15770,United States
297,1531,United States
298,1532,United States
299,1533,United States
300,18472,United States
301,1535,United States
302,1536,United States
303,1538,United States
304,10,United States
305,9,United States
306,1540,United States
307,1541,United States
308,774,United States
309,1544,United States
310,1545,United States
311,1547,United States
312,1549,United States
313,1550,United States
314,1552,United States
315,1553,United States
316,1556,United States
317,1557,United States
318,1558,United States
319,1559,United States
320,1560,United States
321,1561,United States
322,1562,United States
323,1563,United States
324,1566,United States
325,1567,United States
326,17794,United States
327,1568,United States
328,1569,United States
329,9406,United States
330,1571,United States
331,7,United States
332,21332,United States
333,1574,United States
334,1576,United States
335,1577,United States
336,2,United States
337,1580,United States
338,1581,United States
339,1582,United States
340,1583,United States
341,1584,United States
342,14886,United States
343,14237,United States
344,1585,United States
345,1588,United States
346,12324,United States
347,1593,United States
348,1594,United States
349,1596,United States
350,1597,United States
351,1422,United States
352,1600,United States
353,1601,United States
354,1602,United States
355,1603,United States
356,1605,United States
357,11,United States
358,1607,United States
359,1608,United States
360,21878,United States
361,1610,United States
362,1611,United States
363,1612,United States
364,1614,United States
365,1618,United States
366,1,United States
367,1628,United States
368,1630,United States
369,8,United States
370,1631,United States
371,1632,United States
372,15052,United States
373,5,United States
