,ID,Name,Pseudonyms,Link,Picture,Lived in,Born,Died,Jobs
0,21229,Abby Meehan,,https://wfpp.columbia.edu/person/abby-meehan/,,England,1853,1931,director
1,21229,Abby Meehan,,https://wfpp.columbia.edu/person/abby-meehan/,,England,1853,1931,writer
2,1342,Ada Aline Urban,Ada Gorecki|Ada Aline Jones,https://wfpp.columbia.edu/person/ada-aline-urban/,https://wfpp.columbia.edu/wp-content/uploads/2018/05/adaalineurban.jpg,England|United States,1868,1937,business partner
3,1342,Ada Aline Urban,Ada Gorecki|Ada Aline Jones,https://wfpp.columbia.edu/person/ada-aline-urban/,https://wfpp.columbia.edu/wp-content/uploads/2018/05/adaalineurban.jpg,England|United States,1868,1937,company director
4,9728,Emilia Saleny,Josefina Emilia Saleny|Emilia Saleny Ferrari,https://wfpp.columbia.edu/person/emilia-saleny-2/,https://wfpp.columbia.edu/wp-content/uploads/2013/12/WFP-SAL01-e1391529109275.jpg,Argentina,1894,1978,educator
5,9728,Emilia Saleny,Josefina Emilia Saleny|Emilia Saleny Ferrari,https://wfpp.columbia.edu/person/emilia-saleny-2/,https://wfpp.columbia.edu/wp-content/uploads/2013/12/WFP-SAL01-e1391529109275.jpg,Argentina,1894,1978,director
6,9728,Emilia Saleny,Josefina Emilia Saleny|Emilia Saleny Ferrari,https://wfpp.columbia.edu/person/emilia-saleny-2/,https://wfpp.columbia.edu/wp-content/uploads/2013/12/WFP-SAL01-e1391529109275.jpg,Argentina,1894,1978,actress
7,1353,Agnes Gavin,Agnes Kurtz|Agnes Adele Wangenheim,https://wfpp.columbia.edu/person/agnes-gavin/,,Australia,1872,1948,actress
8,1353,Agnes Gavin,Agnes Kurtz|Agnes Adele Wangenheim,https://wfpp.columbia.edu/person/agnes-gavin/,,Australia,1872,1948,writer
9,12539,Beatrice Maude Tildesley,,https://wfpp.columbia.edu/person/beatrice-maude-tildesley/,https://wfpp.columbia.edu/wp-content/uploads/2016/06/WFP2-TILD01.jpg,Australia,1886,1977,critic
10,12539,Beatrice Maude Tildesley,,https://wfpp.columbia.edu/person/beatrice-maude-tildesley/,https://wfpp.columbia.edu/wp-content/uploads/2016/06/WFP2-TILD01.jpg,Australia,1886,1977,co-founder
11,12539,Beatrice Maude Tildesley,,https://wfpp.columbia.edu/person/beatrice-maude-tildesley/,https://wfpp.columbia.edu/wp-content/uploads/2016/06/WFP2-TILD01.jpg,Australia,1886,1977,secretary
12,12539,Beatrice Maude Tildesley,,https://wfpp.columbia.edu/person/beatrice-maude-tildesley/,https://wfpp.columbia.edu/wp-content/uploads/2016/06/WFP2-TILD01.jpg,Australia,1886,1977,international women's organizations film correspondent
13,12539,Beatrice Maude Tildesley,,https://wfpp.columbia.edu/person/beatrice-maude-tildesley/,https://wfpp.columbia.edu/wp-content/uploads/2016/06/WFP2-TILD01.jpg,Australia,1886,1977,writer
14,1407,Caroline Frances Pugliese,,https://wfpp.columbia.edu/person/caroline-frances-pugliese/,,Australia,1865,1940,cinema proprietor
15,1407,Caroline Frances Pugliese,,https://wfpp.columbia.edu/person/caroline-frances-pugliese/,,Australia,1865,1940,producer
16,1407,Caroline Frances Pugliese,,https://wfpp.columbia.edu/person/caroline-frances-pugliese/,,Australia,1865,1940,business partner
17,1407,Caroline Frances Pugliese,,https://wfpp.columbia.edu/person/caroline-frances-pugliese/,,Australia,1865,1940,exhibitor
