,ID,Jobs
0,21229,director
1,21229,writer
2,1342,business partner
3,1342,company director
4,9728,educator
5,9728,director
6,9728,actress
7,1353,actress
8,1353,writer
9,12539,critic
10,12539,co-founder
11,12539,secretary
12,12539,international women's organizations film correspondent
13,12539,writer
14,1407,cinema proprietor
15,1407,producer
16,1407,business partner
17,1407,exhibitor
18,16055,art director
19,16055,director
20,16055,editor
21,16055,actress
22,16055,producer
23,16055,writer
24,1592,booking clerk
25,1592,censor
26,1592,editor
27,1624,director
28,1624,filmmaker
29,1624,business partner
30,1624,writer
31,1613,cinema proprietor
32,1613,business partner
33,1613,exhibitor
34,1613,producer
35,1613,projectionist
36,1620,business partner
37,1620,actress
38,1622,art director
39,1622,business partner
40,1622,writer
41,1622,producer
42,1622,publicist
43,1551,director
44,1551,writer
45,1551,actress
46,1551,producer
47,1551,critic
48,1551,director
49,1551,entrepreneur
50,1367,director
51,1367,director
52,1367,writer
53,1367,dressmaker
54,1367,actress
55,1367,designer
56,1367,stunt person
57,1389,adapter
58,1389,director
59,1389,comedienne
60,1389,continuity
61,1389,extra
62,1389,actress
63,1389,editor
64,1389,writer
65,1453,art director
66,1453,musician
67,1453,writer
68,1453,dressmaker
69,1453,extra
70,1453,actress
71,1453,producer
72,1453,reader
73,1453,stunt person
74,10776,director
75,10776,producer
76,10776,writer
77,10776,continuity
78,10776,dressmaker
79,10776,director
80,10776,actress
81,10776,make-up
82,10776,producer
83,10776,stunt person
84,1565,director
85,1565,writer
86,1565,director
87,1565,editor
88,1565,actress
89,1565,producer
90,1565,designer
91,17005,director
92,17005,producer
93,17005,writer
94,17005,film company founding partner
95,1537,adapter
96,1537,director
97,1537,dramaturge
98,1537,co-founder
99,1537,writer
100,1537,actress
101,1404,writer
102,1404,actress
103,1404,producer
104,1405,director
105,1405,actress
106,1405,film company founding partner
107,1405,producer
108,1405,writer
109,17726,director
110,17726,actress
111,17726,film company founding partner
112,17726,film company owner
113,21695,actress
114,21695,film company owner
115,21695,producer
116,13054,filmmaker
117,13054,cinematographer
118,13054,director
119,13054,editor
120,13054,actress
121,13054,co-founder
122,13054,producer
123,13054,writer
124,11709,writer
125,12315,censor
126,12315,government official
127,12315,projectionist
128,12816,animator
129,12816,director
130,12816,director
131,12816,actress
132,12816,visual artist
133,12816,writer
134,12816,cinematographer
135,11496,business partner
136,11496,exhibitor
137,11496,manager
138,1542,cinematographer
139,1542,director
140,1542,filmmaker
141,1542,editor
142,1542,producer
143,1542,writer
144,1599,director
145,1599,editor
146,1599,actress
147,1599,film company owner
148,1599,producer
149,1599,writer
150,12341,dancer
151,12341,distributor
152,12341,exhibitor
153,12341,critic
154,12341,writer
155,12341,actress
156,12341,editor
157,12341,publisher
158,12341,dressmaker
159,1362,director
160,1509,art director
161,1509,critic
162,1509,writer
163,1509,producer
164,1509,writer
165,1509,director
166,1606,director
167,1606,actress
168,1606,film company owner
169,1606,producer
170,15129,director
171,15129,distributor
172,15129,editor
173,15129,actress
174,15129,producer
175,16213,actress
176,16213,investor
177,16213,producer
178,10693,director
179,10693,actress
180,10693,writer
181,16243,director
182,16243,actress
183,16184,dressmaker
184,16184,actress
185,16184,film company owner
186,16184,producer
187,16184,writer
188,14312,actress
189,14312,film company owner
190,14312,producer
191,14312,engineer
192,14312,designer
193,14312,actress
194,20995,agent
195,20995,business partner
196,20995,actress
197,14747,director
198,14747,editor
199,14747,writer
200,14747,script
201,17058,anthropologist
202,17058,filmmaker
203,17058,scholar
204,17058,filmmaker
205,17058,writer
206,1626,director
207,1626,filmmaker
208,1626,actress
209,1626,film company founding partner
210,1626,film company owner
211,1626,critic
212,1626,writer
213,1626,producer
214,21382,actress
215,21382,writer
216,14793,actress
217,14793,film company owner
218,14793,producer
219,17864,actress
220,17864,writer
221,17864,designer
222,17864,stunt person
223,1705,actress
224,1705,film company owner
225,1705,producer
226,1370,actress
227,14908,writer
228,1629,actress
229,1629,producer
230,1399,adapter
231,1399,reader
232,1399,writer
233,1408,critic
234,4692,actress
235,4692,writer
236,9897,distributor
237,9897,film company shareholder
238,9897,
239,1474,business partner
240,1474,writer
241,1474,scenarist
242,1474,actress
243,1474,entrepreneur
244,1529,writer
245,1534,cinematographer
246,1539,director
247,1539,actress
248,1539,producer
249,1543,lecturer
250,1543,cinematographer
251,1543,visual artist
252,1555,accountant
253,1555,cinematographer
254,1555,actress
255,1555,secretary
256,16586,director
257,16586,critic
258,16586,writer
259,16586,manager
260,12923,adapter
261,12923,actress
262,12923,editor
263,12923,scenarist
264,12923,writer
265,1573,business partner
266,1573,actress
267,1573,writer
268,12778,consultant
269,12778,writer
270,1598,company director
271,1598,actress
272,1598,musician
273,1598,producer
274,1598,writer
275,1450,adapter
276,1450,actress
277,1450,writer
278,1575,adapter
279,1575,writer
280,1587,adapter
281,1587,film company managing director
282,1587,writer
283,1587,actress
284,11896,actress
285,11896,writer
286,11896,painter
287,11896,producer
288,11896,visual artist
289,11896,director
290,11896,manager
291,1590,cinematographer
292,1590,carpenter
293,1590,producer
294,1590,executive
295,1590,dressmaker
296,1590,business partner
297,1590,actress
298,1590,laboratory worker
299,1590,dressmaker
300,1590,set decorator
301,1590,cinematographer
302,20799,adapter
303,20799,writer
304,20799,actress
305,11009,director
306,11009,continuity
307,11009,editor
308,11009,actress
309,11009,writer
310,11009,director
311,1459,adapter
312,1459,consultant
313,1459,director
314,1459,extra
315,1459,film company owner
316,1459,writer
317,1459,producer
318,1497,accountant
319,1497,director
320,1497,actress
321,1497,film company owner
322,1497,musician
323,1497,producer
324,1497,writer
325,1497,dressmaker
326,11517,critic
327,11517,film curator
328,11517,writer
329,11517,preservationist
330,14244,guild shareholder
331,14244,manager
332,14244,reader
333,14244,writer
334,14244,editor
335,1604,dressmaker
336,1604,director
337,1604,actress
338,1604,writer
339,17526,accountant
340,17526,actress
341,17526,manager
342,17526,secretary
343,12583,writer
344,10807,society matron
345,14166,writer
346,14166,film company board member
347,21480,film colorist
348,21480,visual artist
349,14923,musician
350,14923,actress
351,14923,critic
352,14923,pantomime
353,14923,scenarist
354,14923,writer
355,14097,
356,14097,director
357,14097,filmmaker
358,14097,extra
359,14097,actress
360,14097,critic
361,14097,writer
362,21479,film colorist
363,12350,cinematographer
364,12350,actress
365,12350,projectionist
366,12350,manager
367,13949,co-founder
368,13949,director
369,13949,editor
370,13949,critic
371,13949,writer
372,16546,editor
373,16546,actress
374,16546,film colorist
375,17942,consultant
376,17942,manager
377,17942,director
378,17942,investor
379,17942,writer
380,17942,editor
381,1595,director
382,1595,producer
383,1595,actress
384,1595,musician
385,1595,writer
386,15245,director
387,15245,extra
388,15245,actress
389,15245,film company owner
390,15245,producer
391,15245,writer
392,11906,director
393,11906,writer
394,11906,actress
395,16315,cinema proprietor
396,16315,distributor
397,16315,film company owner
398,16315,writer
399,17569,editor
400,17569,film company owner
401,17569,producer
402,17569,writer
403,1354,director
404,1354,director
405,1354,producer
406,1354,writer
407,1354,film company owner
408,1354,lecturer
409,1354,secretary
410,12683,director
411,12683,actress
412,12683,writer
413,1609,adapter
414,1609,writer
415,1627,adapter
416,1627,director
417,1627,writer
418,1627,actress
419,1704,actress
420,1616,director
421,1616,cinematographer
422,1616,actress
423,1616,visual artist
424,16842,cinematographer
425,16842,director
426,16842,filmmaker
427,16842,actress
428,16842,editor
429,16842,lecturer
430,16842,visual artist
431,16842,producer
432,16842,writer
433,10420,director
434,10420,distributor
435,10420,producer
436,10420,writer
437,17185,location scout
438,17185,designer
439,17185,weaver
440,17186,location scout
441,17186,visual artist
442,17186,designer
443,15938,writer
444,17187,manager
445,17187,editor
446,17187,actress
447,12602,company director
448,12602,distributor
449,12602,film company founding partner
450,12602,film company owner
451,12602,producer
452,11533,adapter
453,11533,filmmaking
454,11533,editor
455,11533,director
456,11533,actress
457,11533,critic
458,11533,co-founder
459,11533,secretary
460,11533,miscellaneous crew
461,11533,writer
462,13883,director
463,13883,actress
464,13883,producer
465,13883,writer
466,10466,director
467,10466,actress
468,10466,producer
469,12268,director
470,12268,distributor
471,12268,film company owner
472,12268,producer
473,12268,writer
474,1472,educator
475,1472,adapter
476,1472,director
477,1472,distributor
478,1472,actress
479,1472,film company owner
480,1472,producer
481,1472,writer
482,11357,editor
483,11357,forewoman
484,11357,laboratory worker
485,11357,metalworker
486,11357,dressmaker
487,11357,technician
488,16476,director
489,16476,actress
490,16476,producer
491,16476,writer
492,21928,director
493,21928,actress
494,21928,musician
495,21928,producer
496,21928,writer
497,18173,educator
498,18173,director
499,18173,actress
500,18173,producer
501,18173,writer
502,18173,
503,1589,critic
504,1589,writer
505,16525,director
506,16525,actress
507,15294,writer
508,1344,director
509,1344,actress
510,1344,film company owner
511,1344,writer
512,1344,producer
513,1348,cinema proprietor
514,1348,exhibitor
515,1403,musician
516,1403,director
517,1403,actress
518,1403,producer
519,1403,writer
520,1403,designer
521,1406,director
522,1406,filmmaker
523,1406,editor
524,1406,writer
525,1406,preservationist
526,1406,producer
527,1434,extra
528,1434,actress
529,1434,critic
530,1434,writer
531,1458,director
532,1458,filmmaker
533,1458,critic
534,1458,writer
535,1458,preservationist
536,1591,director
537,1591,actress
538,1591,film company founding partner
539,1591,producer
540,1591,writer
541,1591,musician
542,1349,cinematographer
543,1349,director
544,1349,filmmaker
545,1349,equipment sales
546,1349,filmmaker
547,1349,censor
548,1349,government department head
549,1349,laboratory worker
550,1349,visual artist
551,1349,producer
552,1350,cinematographer
553,1350,director
554,1350,filmmaker
555,1350,equipment sales
556,1350,government department head
557,1350,laboratory worker
558,1350,visual artist
559,1350,producer
560,1548,director
561,1548,producer
562,1548,writer
563,10414,censor
564,10414,writer
565,10414,critic
566,1528,director
567,1528,writer
568,1528,producer
569,1364,writer
570,1578,writer
571,1615,educator
572,1615,producer
573,1617,actress
574,1617,entrepreneur
575,21853,educator
576,21853,director
577,21853,actress
578,21853,producer
579,21853,writer
580,22000,critic
581,22000,scholar
582,22000,writer
583,10082,educator
584,10082,director
585,10082,director
586,10082,educator
587,10082,actress
588,10082,writer
589,21098,preservationist
590,21098,director
591,21098,director
592,21098,editor
593,1476,director
594,1476,filmmaker
595,1476,editor
596,1476,writer
597,13035,director
598,13035,editor
599,13035,writer
600,13035,musician
601,13035,writer
602,13035,educator
603,13035,consultant
604,13035,editor
605,12498,educator
606,12498,adapter
607,12498,director
608,12498,editor
609,12498,writer
610,12498,actress
611,12498,director
612,12498,entrepreneur
613,20509,animator
614,20509,consultant
615,20509,director
616,20509,editor
617,20509,writer
618,20512,animator
619,20512,consultant
620,20512,director
621,20512,editor
622,20512,writer
623,16002,director
624,16002,actress
625,16002,film company owner
626,16002,producer
627,16002,entrepreneur
628,14676,adapter
629,14676,critic
630,14676,scholar
631,14676,editor
632,14676,script
633,10677,designer
634,10677,writer
635,13804,writer
636,13804,exhibitor
637,13804,actress
638,13804,director
639,14266,musician
640,10682,censor
641,1351,director
642,1351,comedienne
643,1351,distributor
