,Jobs,Unnamed: 0,ID
0,accountant,5,5
1,actress,160,160
2,adapter,35,35
7,art director,6,6
10,business partner,11,11
12,censor,6,6
14,cinematographer,19,19
15,co-founder,8,8
16,comedienne,7,7
17,company director,13,13
18,consultant,6,6
19,continuity,9,9
21,critic,22,22
23,designer,11,11
24,director,136,136
25,distributor,13,13
27,dressmaker,15,15
28,editor,69,69
29,educator,10,10
31,entrepreneur,9,9
34,exhibitor,7,7
35,extra,10,10
39,film company founding partner,11,11
41,film company owner,31,31
45,filmmaker,20,20
56,lecturer,8,8
60,manager,13,13
64,musician,20,20
70,producer,117,117
75,reader,7,7
77,scenarist,7,7
78,scholar,5,5
80,secretary,9,9
87,stunt person,6,6
91,visual artist,15,15
93,writer,211,211
